Name,Category,Description,Price (USD),Canna-Butter Dose (mg THC),Serving Size,Prep Time (min),Vegan
The Green Awakening,Espresso,Double-shot espresso pulled over canna-butter foam with a cardamom-and-black-pepper finish,8.50,5,8 oz,5,No
Velvet Haze Latte,Latte,Silky oat-milk latte swirled with canna-butter and a house-made lavender-vanilla syrup,9.00,5,12 oz,6,Yes
Emerald Tide Cold Brew,Cold Brew,16-hour cold brew steeped with cacao nibs; canna-butter melted in at serving; topped with salted cream cold foam,8.00,5,16 oz,3,No
Gilded Fog Cortado,Cortado,Equal-parts espresso and steamed whole milk emulsified with canna-butter and a hint of smoked caramel,7.50,5,4 oz,4,No
Sundial Matcha,Matcha,Ceremonial-grade matcha whisked with canna-butter and honey-ginger syrup; topped with coconut milk foam,9.50,5,10 oz,7,Yes
Midnight Bloom Mocha,Mocha,Dark-chocolate mocha enriched with canna-butter and a rosemary-infused simple syrup; dusted with sumac,9.00,5,12 oz,6,No
The Canopy Cappuccino,Cappuccino,Classic dry cappuccino with canna-butter dissolved into the espresso base; finished with toasted-hazelnut powder,8.00,5,6 oz,5,No
Aurora Horchata Brew,Iced Drink,Cold-brew poured over cinnamon-rice-milk horchata; canna-butter stirred in; topped with star-anise foam,9.50,5,16 oz,5,Yes
Solstice Dirty Chai,Chai,Masala chai brewed with eight spices; double espresso shot; canna-butter stirred into the pull; oat milk steamed,9.00,5,12 oz,7,Yes
Ember & Dew Affogato,Dessert Drink,Single-origin vanilla gelato drowned in a canna-butter espresso shot; served with a honeycomb shard,11.00,10,6 oz,4,No
Cloudwalker Croissant,Pastry,Laminated all-butter croissant with a canna-butter glaze and a miso-caramel dipping sauce,7.00,5,1 piece,2,No
Terra Nova Banana Bread,Pastry,Brown-butter banana bread loaf made with canna-butter; studded with toasted walnuts and cacao nibs,6.50,5,1 slice,2,No
Gossamer Cinnamon Roll,Pastry,Slow-rise brioche roll slathered with canna-butter and brown-sugar filling; cream-cheese cardamom icing,8.00,10,1 roll,3,No
Dusk Petal Scone,Pastry,Hibiscus-and-orange zest scone finished with a canna-butter rub and flaked sea salt; served with clotted cream,6.50,5,1 scone,2,No
Prism Almond Tart,Pastry,Frangipane almond tart in an all-canna-butter shell; topped with saffron glaze and candied pistachios,9.00,10,1 slice,2,No
Wanderer's Waffle,Brunch,Belgian waffle batter made with canna-butter; topped with yuzu curd and hibiscus-poached pear,13.00,10,1 waffle,12,No
Greenleaf Avocado Toast,Brunch,Sourdough brushed with canna-butter compound; smashed avocado with chili flakes and pickled watermelon radish,12.00,5,2 slices,8,Yes
The Ritual Bowl,Brunch,Steel-cut oats cooked in oat milk; finished with canna-butter and brown sugar; topped with caramelized figs and tahini drizzle,11.00,5,1 bowl,10,Yes
Fog Catcher Frittata,Brunch,Baked egg frittata with roasted garlic; canna-butter brushed on the crust; topped with burrata and microgreens,14.00,5,1 portion,15,No
Solara French Toast,Brunch,Brioche thick-cut french toast cooked in canna-butter; dusted with matcha sugar; served with yuzu maple syrup,13.00,10,2 slices,10,No
Afterglow Truffle Fries,Savory Snack,Twice-fried fingerling potatoes tossed in canna-butter and truffle oil; topped with pecorino and chives,11.00,10,1 basket,15,No
Nightshade Flatbread,Savory Snack,Sourdough flatbread brushed with canna-butter and roasted-garlic confit; topped with heirloom tomato and balsamic reduction,10.00,5,1 flatbread,12,No
The Sleepy Grilled Cheese,Savory Snack,"Triple-cheese blend (gruyère, fontina, white cheddar) on sourdough cooked in canna-butter; served with tomato-harissa dipping soup",12.00,10,1 sandwich,10,No
Ember Corn Elotes,Savory Snack,Charred street corn on the cob slathered with canna-butter crema; cotija cheese and tajín dust,8.00,5,2 cobs,8,Yes
Haze & Honey Popcorn,Savory Snack,Air-popped popcorn drizzled with canna-butter and wildflower honey; dusted with smoked paprika and fleur de sel,7.00,5,1 bag,5,Yes
Nimbus Brownie,Sweet Snack,Fudgy dark-chocolate brownie made with canna-butter; topped with espresso ganache and gold-leaf flake,8.00,10,1 piece,2,No
Celestial Blondie,Sweet Snack,Brown-butter canna-butter blondie with tahini swirl and white-chocolate chips; topped with crushed halvah,7.50,10,1 piece,2,No
Lunar Cookie,Sweet Snack,Brown-butter canna-butter chocolate-chip cookie with fleur de sel and a smoked-caramel center pull,6.50,5,1 cookie,2,No
Drift Macarons (2pc),Sweet Snack,"French macarons with canna-butter incorporated into the ganache fillings; rotating seasonal flavors (lavender & earl grey)",9.00,5,2 pieces,2,No
Stardrift Churros,Sweet Snack,Cinnamon-sugar churros fried in canna-butter oil blend; served with a dark-chocolate-mole dipping sauce,9.50,10,4 pieces,8,No
